no,latitude,longitude,nama masjid,alamat,
48,-2.5781,104.49399,Masjid Babussalam,"Jalan Taqwa Mata Merah, Sei Selincah, Kalidoni, Sei Selincah, Palembang, Kota Palembang",
49,-2.58224,104.49069,Musholah AL.Qoyyuum,Jln Mayorzen lr.Abadi Kecamatan Kalidoni sei Selincah,
50,-2.57805,104.49039,Musholah Miftahul Jannah,Jln. Mayorzen Lr.abadi kecamatan kalidoni sei Selinccah,
51,-2.90797,104.68268,Mushola Al-Ikhas,Komplek Bumi Persada Indah,
52,-2.90856,104.67959,Masjid Jamiatul Khair,Jl. Mega Asri,
53,-2.91127,104.67922,Masjid Bhakti II,Jl. Mega Asri,
54,-2.90559,104.6824,Masjid Baiturrahim,Jl. Gotong Royong,
55,-2.90597,104.6855,Masjid Nurul Hidayah,Jl. Gotong Royong,
56,-2.91049,104.68671,Masjid Fajarul Amin,Jl. Boster,
57,-2.91087,104.69334,Masjid Nurul Yaqin,Jl. Nurul Yakin,
58,-2.90701,104.69154,Masjid Al Ikhlas,Lorong Mangga 1,
59,-2.90498,104.69044,Masjid Nurul Islam,Jl. Moh Yusuf,
60,-2.90893,104.68376,Masjid Jamik Al-Muttaqin,Jl. PMD,
61,-2.9989099,104.7474825,Masjid Besar Al - Mahmudiyah,"kelurahan 30 Ilir, Ilir Barat II Palembang City, South Sumatra",
62,-2.9993619,104.7361895,Masjid Al-Jaatsyiah,"Jl. Sultan M. Mansyur, Bukit Lama, Kec. Ilir Bar. II",
63,-2.9931152,104.7426184,Masjid Al Maghfiroh,"Jl. Rambutan No.6 22, RT.22, 30 Ilir, Kec. Ilir Bar. II",
64,-2.988422,104.7399966,Masjid Raya Taqwa,"Jl. Telaga, 30 Ilir, Kec. Ilir Bar. II.",
65,-2.9897327,104.7484798,Masjid baitul 'atiq,"Jl. Dr. Wahidin No.1, Talang Semut, Kec. Bukit Kecil",
66,-2.9941997,104.8031407,Masjid Al Ikhlas,"JL. Sentosa, Kec. Seberang Ulu II",
67,-2.9957372,104.8033575,Masjid Iman Sejati,"Jalan Sentosa, Sentosa, Plaju, Sentosa, Kec. Seberang Ulu II",
68,-2.9951514,104.8080711,Masjid Darussa'adah,"Jl. D.I. Panjaitan No.3, Bagus Kuning, Kec. Plaju",
69,-2.9941582,104.800718,Masjid Annasirriyah,"Jl. Gaya Baru No.20, Sentosa, Kec. Seberang Ulu II",
70,-2.9877544,104.7796087,Majid Ishlah,"14 Ulu, Seberang Ulu II",
71,-2.96937,104.76042,Masjid Babul Iman,"Jl. Mayor Ruslan Lrg.Kenangan No.70, RT : 02 , RW : 01 SEKIP JAYA KEMUNING KOTA PALEMBANG",
72,-2.9613,104.74833,Masjid Daarul Jannah,"Jl. Rawa Jaya, RT : 10 , RW : - ARIO KEMUNING ILIR TIMUR I KOTA PALEMBANG",
73,-2.96484,104.75752,Masjid Jami' Al-Ikhlash,"Jl. Mayor Salim Batubara, RT : 11 , RW : 04 SEKIP JAYA KEMUNING KOTA PALEMBANG",
74,-2.96008,104.75957,Masjid Jami' Nurul Hidayah,"Jl. Bendung, RT : - , RW : - 20 Ilir D II KEMUNING KOTA PALEMBANG",
75,-2.96842,104.76227,Musholla Miftahul Jannah,"Jl. Mayor Ruslan, 9 Ilir, Kec. Ilir Tim. II, Kota Palembang",
76,-2.96276,104.76164,Masjid Nurul Amal,"Jl. Gersik No.35, 9 Ilir, Kec. Ilir Tim. II, Kota Palembang",
77,-2.96642,104.75778,Masjid Nurul Iman,"Jl, Sekip Jaya, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30114",
78,-2.96682,104.75442,Musholla Nurul Jannah,"Jl. Kom. Pol. H. M. Damsyik, Sekip Jaya, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30114",
79,-2.95823,104.75567,Musholla Amal,"20 Ilir D II, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30164",
80,-2.96575,104.7544,Musholla Siroojul Huda,"Jl. Madang Dalam I, RT.27/RW.08, Sekip Jaya, Kec. Kemuning, Kota Palembang",
81,-2.94061,104.74237,Masjid Al-Khomsiah,"Lorong Keluarga 1, Suka Bangun, Kec. Sukarami, Kota Palembang, Sumatera Selatan",
82,-2.94241,104.7433,Masjid Amaliah,Jl. Malaka Jl. R.A .Abusamah,
83,-2.94559,104.74451,Masjid At Taqwa,Lorong Bilal Jl. H. Sanusi,
84,-2.9449,104.74622,Masjid Atqo,"Lorong Sukamulya 1 No.3331, Talang Aman",
85,-2.9397,104.75262,Masjid Nururrahmah,Jl. Meranjat Raya Lorong Kalpataru 1,
86,-2.94637,104.74965,Masjid Nurroniah,"Jl. Lorong Puncak Harapan No.1, Talang Aman",
87,-2.94687,104.75191,Masjid Babussalam,"Pipa Jaya, Kec. Kemuning",
88,-2.94542,104.75319,Masjid Muslimin,"Jl. Pipa Reja No.788, Pipa Jaya, Kec. Kemuning",
89,-2.93795,104.73847,Masjid Al Ahya,Jl. R.A. Abusamah No.2332 A,
90,-2.94057,104.73724,Musholla Darul Ikhlas,"Jl. Suka Bangun 1, Suka Bangun",
91,-3.00446,104.77157,Mushola Al-Hijrah,"Jl. Gub H Bastari, 8 Ulu",
92,-3.00464,104.76994,Masjid Jami Nurul Hidayah,"Jl. Bungaran V, 8 Ulu",
93,-3.00489,104.76863,Masjid Nurul Falah,"Lorong Swadaya II, 8 Ulu",
94,-3.00228,104.76575,Masjid Darussallam,"Lorong Spakat Jaya I, 7 Ulu",
95,-3.00347,104.76577,Masjid Al-Hijrah,"Lorong Masjid II, 5 Ulu",
96,-3.01529,104.76815,Masjid Istiqlal,"Jl. Panca Usaha 5, 5 Ulu",
97,-3.02464,104.77998,Masjid Al Islam Muhammad Cheng Hoo Sriwijaya palembang,"Jl. Cheng Ho, 15 Ulu  ",
98,-3.02993,104.77776,Masjid AN NUR,"Jl. Pangeran Ratu, 15 Ulu",
99,-3.03079,104.78012,Masjid Nur Huda,"Jl. Palem Raya, 15 Ulu",
100,-3.03626,104.7804,Masjid Al-Muhajirin,"Jalan Selatan, Talang Putri, Kec. Plaju",
101,-2.96716,104.82131,Masjid Akbar,Jln. Taqwa Mata Merah,
102,-2.96348,104.82311,Masjid Al Ikhlas,Jln. Taqwa Mata Merah,
103,-2.95972,104.82454,Masjid Babussalam,Jln. Taqwa Mata Merah,
104,-2.9706,104.82557,Masjid Bhakti,Jln. Mayor Zein,
105,-2.97378,104.83069,Masjid Darussholihin,Jln. Mayor Zein,
